@RELATION svm_clf
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE class {links,rechts}

@DATA
0.105311,0.006497,1.464921,0.217685,0.161571,1.122892,0.003050,0.228938,0.002953,0.004218,0.010073,0.006083,0.005533,0.005197,0.009812,0.002461,0.002509,0.003562,0.004332,0.003517,0.004951,0.021529,0.008978,1.032804,0.037018,0.033270,0.354720,0.001665,0.062202,0.002972,0.005232,0.013371,0.009109,0.007934,0.007750,0.015640,0.004048,0.003557,0.004845,0.005120,0.004566,0.006023,links
0.123063,0.009720,1.928066,0.241843,0.191651,1.157995,0.002555,0.208630,0.002782,0.002482,0.025397,0.006842,0.006082,0.001233,0.038678,0.001806,0.001241,0.009433,0.007210,0.001671,0.012139,0.028163,0.013054,0.956919,0.025211,0.046586,0.316952,0.001650,0.060169,0.002268,0.001882,0.024717,0.005266,0.006256,0.000986,0.043994,0.001696,0.001138,0.009417,0.009217,0.001595,0.012184,rechts
0.131935,0.008378,1.889341,0.231638,0.174657,1.271904,0.002652,0.233117,0.002369,0.002524,0.016606,0.005020,0.005427,0.001261,0.025206,0.001744,0.001340,0.005477,0.003734,0.001776,0.007824,0.024957,0.011962,0.975910,0.026543,0.044605,0.320539,0.001434,0.054908,0.002127,0.001875,0.020791,0.005030,0.006338,0.000988,0.036384,0.001631,0.001109,0.007996,0.004126,0.001928,0.010208,rechts
0.131706,0.009215,1.657407,0.232127,0.170695,1.201919,0.002788,0.233140,0.002559,0.002317,0.015957,0.003936,0.004800,0.001330,0.018367,0.001621,0.001139,0.004972,0.003308,0.001896,0.006439,0.023507,0.012075,0.944927,0.026465,0.042199,0.316630,0.001433,0.047228,0.002878,0.001662,0.022466,0.003635,0.006622,0.001209,0.030574,0.001514,0.000880,0.008553,0.004459,0.002172,0.009335,rechts
0.130495,0.007572,1.859322,0.229367,0.170648,1.210088,0.002819,0.229102,0.002531,0.002832,0.022805,0.003558,0.005280,0.001429,0.018364,0.001768,0.001271,0.004867,0.002948,0.001920,0.007506,0.024130,0.010324,0.943845,0.026272,0.047116,0.313898,0.001575,0.051046,0.003009,0.001922,0.033208,0.003304,0.007198,0.001218,0.028427,0.001576,0.001191,0.007473,0.003450,0.002447,0.010638,rechts
0.128648,0.009883,1.872967,0.235432,0.182852,1.209792,0.002924,0.224923,0.002967,0.003166,0.026817,0.004497,0.006487,0.001636,0.022448,0.001864,0.001400,0.007048,0.003596,0.001976,0.008831,0.025651,0.012333,1.034739,0.026867,0.047368,0.328658,0.001555,0.058944,0.003752,0.002507,0.033494,0.004480,0.007776,0.001403,0.030084,0.001736,0.001416,0.009758,0.004057,0.002071,0.010851,rechts
0.130853,0.010426,1.630740,0.236119,0.173997,1.209540,0.002673,0.233580,0.003051,0.002502,0.015026,0.004873,0.003525,0.001243,0.018489,0.001723,0.001233,0.005743,0.004506,0.001792,0.006248,0.023937,0.013347,0.952890,0.028629,0.044154,0.336391,0.001484,0.059874,0.004284,0.001897,0.019723,0.005112,0.004219,0.001058,0.029339,0.001675,0.001284,0.009350,0.006382,0.001825,0.008467,rechts
0.129834,0.010068,1.757863,0.229854,0.170917,1.194127,0.002726,0.222849,0.002666,0.002643,0.015175,0.004458,0.004816,0.001324,0.022680,0.002026,0.001397,0.004736,0.004583,0.001733,0.007096,0.025672,0.012447,0.946165,0.025839,0.046920,0.317061,0.001488,0.052045,0.003695,0.002028,0.019947,0.004492,0.005959,0.001015,0.036404,0.002154,0.001796,0.007162,0.006237,0.001722,0.010042,rechts
0.128503,0.007660,1.824474,0.228004,0.171318,1.167317,0.002806,0.223566,0.002858,0.002914,0.020136,0.003825,0.005268,0.001733,0.018168,0.001766,0.001617,0.005648,0.003507,0.002148,0.006896,0.026276,0.010676,0.933688,0.023585,0.046474,0.330636,0.001600,0.055259,0.003703,0.002143,0.027096,0.003853,0.007014,0.001781,0.027881,0.001539,0.001899,0.008792,0.004616,0.002802,0.009361,rechts
0.088686,0.002717,2.735012,0.262614,0.248744,0.791337,0.001502,0.114328,0.003223,0.002414,0.055152,0.012029,0.016103,0.001988,0.100963,0.001708,0.001846,0.021385,0.012424,0.001355,0.029494,0.022583,0.004334,0.452482,0.021670,0.029429,0.219949,0.001095,0.056270,0.002597,0.001368,0.017743,0.003985,0.003970,0.000698,0.031136,0.001557,0.002312,0.007426,0.005834,0.001544,0.008189,rechts
